AUC,F1 score,ACC_normal,ACC_bruise,ACC_decay,ACC_contaminated
strawberry_0runs,0.9152480914160273,0.846607669616519,0.8272425249169435,0.935251798561151,0.72,0.85
strawberry_1runs,0.9061976303178199,0.8348082595870208,0.813953488372093,0.9424460431654677,0.7,0.82
strawberry_2runs,0.9130283519046638,0.8495575221238938,0.8305647840531561,0.920863309352518,0.73,0.87
strawberry_3runs,0.9113035212026774,0.8348082595870208,0.813953488372093,0.9280575539568345,0.71,0.83
strawberry_4runs,0.8992836072482091,0.8348082595870208,0.813953488372093,0.9136690647482014,0.72,0.84
strawberry_5runs,0.9106273091661031,0.8407079646017699,0.8205980066445182,0.935251798561151,0.72,0.83
strawberry_6runs,0.9105587079450014,0.8436578171091446,0.823920265780731,0.935251798561151,0.72,0.84
strawberry_7runs,0.9041885945569832,0.8407079646017699,0.8205980066445182,0.935251798561151,0.71,0.84
strawberry_8runs,0.9101667009672771,0.8348082595870208,0.813953488372093,0.9280575539568345,0.72,0.82
strawberry_9runs,0.903203677025451,0.8407079646017699,0.8205980066445182,0.920863309352518,0.72,0.85
strawberry_10runs_mean,0.9083806191750213,0.840117994100295,0.8199335548172757,0.9294964028776977,0.717,0.8390000000000001
strawberry_10runs_std,0.004713635458014188,0.005075118151647497,0.005715830742221013,0.008389858841504016,0.007810249675906661,0.014456832294800973
